City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,5.45,84,96,16.59,TF,1686501265
1,iqaluit,63.7506,-68.5145,1.85,80,100,7.2,CA,1686501266
2,dudinka,69.4058,86.1778,10.9,50,71,7.3,RU,1686501266
3,grytviken,-54.2811,-36.5092,-1.53,87,97,5.39,GS,1686501266
4,yinzhu,35.8786,119.9753,19.79,72,87,1.54,CN,1686501266
5,pisco,-13.7,-76.2167,22.03,64,100,3.09,PE,1686501212
6,oruro,-17.9833,-67.15,13.46,13,2,4.17,BO,1686501266
7,nemuro,43.3236,145.575,11.45,98,100,4.13,JP,1686501266
8,bilibino,68.0546,166.4372,15.07,59,100,1.98,RU,1686501266
9,hithadhoo,-0.6,73.0833,28.68,72,75,2.82,MV,1686501267
10,winslow,35.0242,-110.6974,24.1,15,0,3.6,US,1686501267
11,rabaul,-4.1967,152.1721,26.34,81,90,1.58,PG,1686501267
12,lebu,-37.6167,-73.65,9.32,66,32,8.9,CL,1686501133
13,adamstown,-25.066,-130.1015,20.71,64,77,6.85,PN,1686501267
14,puerto ayora,-0.7393,-90.3518,31.98,84,100,4.92,EC,1686501089
15,egilsstadir,65.2653,-14.3948,19.95,26,0,5.14,IS,1686501268
16,les avirons,-21.2418,55.3394,22.05,73,75,2.57,RE,1686501268
17,bredasdorp,-34.5322,20.0403,13.85,68,100,3.66,ZA,1686501268
18,toliara,-23.35,43.6667,21.64,82,0,4.38,MG,1686501268
19,waitangi,-43.9535,-176.5597,10.46,78,100,6.38,NZ,1686501268
20,awjilah,29.1081,21.2869,34.67,23,0,4.33,LY,1686501268
21,ilulissat,69.2167,-51.1,0.01,93,100,2.06,GL,1686501268
22,wailua homesteads,22.0669,-159.378,23.44,88,75,5.66,US,1686501269
23,kodiak,57.79,-152.4072,6.73,87,75,7.72,US,1686501229
24,hawaiian paradise park,19.5933,-154.9731,21.69,91,75,2.57,US,1686501269
25,georgetown,5.4112,100.3354,29.97,80,20,2.06,MY,1686501269
26,aquin,18.2833,-73.4,29.84,67,18,4.43,HT,1686501269
27,yellowknife,62.456,-114.3525,8.29,87,100,1.03,CA,1686501003
28,cabo san lucas,22.8909,-109.9124,32.56,28,0,0.0,MX,1686501170
29,remire-montjoly,4.9167,-52.2667,31.02,66,75,6.17,GF,1686501270
30,mogadishu,2.0371,45.3438,26.66,77,44,8.95,SO,1686501270
31,invercargill,-46.4,168.35,6.04,91,28,3.61,NZ,1686501072
32,keflavik,64.0049,-22.5624,9.95,71,75,8.75,IS,1686500726
33,broome,42.2506,-75.833,27.05,47,0,2.57,US,1686501270
34,port alfred,-33.5906,26.891,18.77,55,0,4.1,ZA,1686501271
35,sotnikovskoye,45.0039,43.7772,23.17,66,81,3.43,RU,1686501271
36,blackmans bay,-43.0167,147.3167,9.29,86,86,2.8,AU,1686501271
37,eydhafushi,5.1033,73.0708,28.5,80,91,6.11,MV,1686501271
38,anadyr,64.75,177.4833,4.28,93,100,3.0,RU,1686501271
